(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
		Common_Box01_Pfb (312 verts)	-1	True	False	True	1	[Common_Box01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x1 times]
	SGAME/SGAME_Scene_01 (2002 verts): 
		Common_Bucket_07_Pfb (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
		Common_Bucket_05_Pfb (2) (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
		Common_Bucket_05_Pfb (1) (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
		Common_Bucket_05_Pfb (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
		Common_Bucket_06_Pfb (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
		Common_Bucket_04_Pfb (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
		Common_Bucket_06_Pfb (1) (286 verts)	-1	True	False	False	1	[Common_Bucket (UnityEngine.Material)] 	
	SGAME/SGAME_Scene_01 (10015 verts): 
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket02_Pfb (439 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket03_Pfb (1) (714 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket03_Pfb (714 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
		Common_Bucket01_Pfb (388 verts)	-1	True	False	True	1	[Common_Bucket01_Mat (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
	SGAME/SGAME_Scene_01 (10418 verts): 
		Common_Fence002_01_Pfb (2) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb  (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (2) (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (3) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (21) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (17) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_Pfb (4) (235 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_Pfb (6) (235 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_Pfb (7) (235 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_Pfb (5) (235 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (6) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (3) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (4) (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (7) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (3) (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_Pfb  (235 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (10) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (12) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (23) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (2) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (18) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (19) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (8) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (22) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (4) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (14) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (2) (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (6) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (20) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (5) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (15) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (1) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (13) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_02_Pfb (1) (318 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (11) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (9) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (16) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
		Common_Fence002_01_Pfb (7) (231 verts)	-1	True	False	False	1	[Common_Fence002_Mat (UnityEngine.Material)] 	
	SGAME/SGAME_Scene_01 (1486 verts): 
		Common_FloorTile01_Pfb (4) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile06_Pfb (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (7) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (13) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (16) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (3) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (14) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile06_Pfb (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile02_Pfb (5) (21 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile02_Pfb (3) (21 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile06_Pfb (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile06_Pfb (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (11) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (15) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (6) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile02_Pfb (7) (21 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile01_Pfb (8) (23 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (8) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (1) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (9) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (11) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (3) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (6) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
		Common_FloorTile04_Pfb (7) (31 verts)	-1	True	False	False	1	[Common_FloorTile01_Mat (UnityEngine.Material)] 	
