doc	status	ref	resolved
FLOW_DAMAGE_PIPELINE.md	OK	BuffStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Buff\BuffStageHandle.cs
FLOW_DAMAGE_PIPELINE.md	OK	BulletInfo.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\BulletInfo.cs
FLOW_DAMAGE_PIPELINE.md	OK	BulletStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\BulletStageHandle.cs
FLOW_DAMAGE_PIPELINE.md	OK	DamageEntity.cs	Assets\Scripts\StarGame\Game\Skill\DamageEntity.cs
FLOW_DAMAGE_PIPELINE.md	OK	EffectResultUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectResultUtils.cs
FLOW_DAMAGE_PIPELINE.md	OK	EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
FLOW_DAMAGE_PIPELINE.md	OK	FreezeBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\FreezeBuffEffect.cs
FLOW_DAMAGE_PIPELINE.md	OK	ShadowFollowBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ShadowFollowBuffEffect.cs
FLOW_DAMAGE_PIPELINE.md	OK	SkillBuff.cs	Assets\Scripts\StarGame\Game\Skill\Buff\SkillBuff.cs
FLOW_DAMAGE_PIPELINE.md	OK	SkillBullet.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\SkillBullet.cs
FLOW_DAMAGE_PIPELINE.md	OK	SkillEffectParam.cs	Assets\Scripts\StarGame\Game\Skill\SkillEffectParam.cs
FLOW_DAMAGE_PIPELINE.md	OK	SkillUtils.cs	Assets\Scripts\StarGame\Game\Skill\Utils\SkillUtils.cs
FLOW_DAMAGE_PIPELINE.md	OK	TypeEffectFactory.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\TypeEffectFactory.cs
FLOW_SKILL_CAST_FULL.md	OK	EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
FLOW_SKILL_CAST_FULL.md	OK	GameManager.cs	Assets\Scripts\StarGame\Game\GameManager.cs
FLOW_SKILL_CAST_FULL.md	OK	PlayerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PlayerCtrlGroup.cs
FLOW_SKILL_CAST_FULL.md	OK	SkillComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillComponent.cs
FLOW_SKILL_CAST_FULL.md	OK	SkillDispatcher.cs	Assets\Scripts\StarGame\Game\Skill\SkillDispatcher.cs
FLOW_SKILL_CAST_FULL.md	OK	StageHandle.cs	Assets\Scripts\StarGame\Game\Skill\StageHandle.cs
FLOW_SKILL_RELEASE.md	OK	EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
FLOW_SKILL_RELEASE.md	OK	GameInput.cs	Assets\Scripts\StarGame\Game\GameInput.cs
FLOW_SKILL_RELEASE.md	OK	GameManager.cs	Assets\Scripts\StarGame\Game\GameManager.cs
FLOW_SKILL_RELEASE.md	OK	PassiveInfo.cs	Assets\Scripts\StarGame\Game\Skill\Passive\PassiveInfo.cs
FLOW_SKILL_RELEASE.md	OK	PlayerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PlayerCtrlGroup.cs
FLOW_SKILL_RELEASE.md	OK	SkillBuff.cs	Assets\Scripts\StarGame\Game\Skill\Buff\SkillBuff.cs
FLOW_SKILL_RELEASE.md	OK	SkillBullet.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\SkillBullet.cs
FLOW_SKILL_RELEASE.md	OK	SkillComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillComponent.cs
FLOW_SKILL_RELEASE.md	OK	SkillController.cs	Assets\Scripts\StarGame\Game\Skill\SkillController.cs
FLOW_SKILL_RELEASE.md	OK	SkillControllerSkillPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillControllerSkillPartial.cs
FLOW_SKILL_RELEASE.md	OK	SkillDispatcher.cs	Assets\Scripts\StarGame\Game\Skill\SkillDispatcher.cs
FLOW_SKILL_RELEASE.md	OK	SkillEntity.cs	Assets\Scripts\StarGame\Game\Skill\SkillEntity.cs
FLOW_SKILL_RELEASE.md	OK	SkillEntityActionPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillEntityActionPartial.cs
FLOW_SKILL_RELEASE.md	OK	SkillEntityUserInputPartial.cs	Assets\Scripts\StarGame\Game\Skill\SkillPartial\SkillEntityUserInputPartial.cs
FLOW_SKILL_RELEASE.md	OK	SkillStage.cs	Assets\Scripts\StarGame\Game\Skill\SkillStage.cs
FLOW_SKILL_RELEASE.md	OK	SkillUnitController.cs	Assets\Scripts\StarGame\Game\Skill\SkillUnitController.cs
FLOW_SKILL_RELEASE.md	OK	StageHandle.cs	Assets\Scripts\StarGame\Game\Skill\StageHandle.cs
L1_ENTITY_FACTORY_LAYER.md	OK	Stone.cs	Assets\Scripts\StarGame\Game\Entity\Static\Stone.cs
L1_ENTITY_RUNTIME_LAYER.md	OK	AttackState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AttackState.cs
L1_ENTITY_RUNTIME_LAYER.md	OK	AttacState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AttacState.cs
PLAN_v4.md	MISSING	.cs	
PLAN_v4.md	OK	AOIEntityObject.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\Base\AOIEntityObject.cs
PLAN_v4.md	OK	BattleManager.cs	Assets\Scripts\StarGame\Service\BattleManager\BattleManager.cs
PLAN_v4.md	MISSING	BlackBoard.cs	
PLAN_v4.md	OK	DamageEntity.cs	Assets\Scripts\StarGame\Game\Skill\DamageEntity.cs
PLAN_v4.md	OK	EffectData.cs	Assets\Scripts\StarGame\Service\LocalDataManager\WrapData\EffectData.cs
PLAN_v4.md	OK	EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
PLAN_v4.md	MISSING	Entity/Data/CollectData.cs	
PLAN_v4.md	OK	Entity/Data/EntityBaseData.cs	Assets\Scripts\StarGame\Game\Data\EntityBaseData.cs
PLAN_v4.md	MISSING	Entity/Data/HeroData.cs	
PLAN_v4.md	OK	Entity/Data/MonsterData.cs	Assets\Scripts\StarGame\Service\LocalDataManager\WrapData\MonsterData.cs
PLAN_v4.md	OK	Entity/Data/NPCData.cs	Assets\Scripts\StarGame\Service\LocalDataManager\WrapData\NpcData.cs
PLAN_v4.md	OK	Entity/Data/PartnerData.cs	Assets\Scripts\StarGame\Service\LocalDataManager\WrapData\PartnerData.cs
PLAN_v4.md	MISSING	Entity/Data/SceneObjectData.cs	
PLAN_v4.md	OK	Entity/Data/SummonData.cs	Assets\Scripts\StarGame\Service\LocalDataManager\WrapData\SummonData.cs
PLAN_v4.md	MISSING	Entity/EntityBase.cs	
PLAN_v4.md	OK	Entity/EntityFactory.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityFactory.cs
PLAN_v4.md	OK	Entity/EntityObject.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityObject.cs
PLAN_v4.md	MISSING	Entity/IEntity.cs	
PLAN_v4.md	MISSING	Entity/IEntityFactory.cs	
PLAN_v4.md	MISSING	Entity/IEntityManager.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/HeroEntity.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/LocalCollectEntity.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/LocalMonsterEntity.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/LocalNPCEntity.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/LocalPartnerEntity.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/LocalSceneObjectEntity.cs	
PLAN_v4.md	MISSING	Entity/LocalDynamic/LocalShowEntity.cs	
PLAN_v4.md	OK	Entity/LocalDynamic/LocalSummonEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\LocalSummonEntity.cs
PLAN_v4.md	MISSING	Entity/LocalDynamic/MainHeroEntity.cs	
PLAN_v4.md	OK	Entity/View/ViewAOI.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewAOI.cs
PLAN_v4.md	OK	Entity/View/ViewVitalNPCNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewVitalNPCNormal.cs
PLAN_v4.md	OK	EntityBaseData.cs	Assets\Scripts\StarGame\Game\Data\EntityBaseData.cs
PLAN_v4.md	OK	EntityFactory.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityFactory.cs
PLAN_v4.md	OK	GameContext.cs	Assets\Scripts\StarGame\Game\GameContext.cs
PLAN_v4.md	MISSING	GameDebug.cs	
PLAN_v4.md	MISSING	GameDefine.cs	
PLAN_v4.md	MISSING	GameHelper.cs	
PLAN_v4.md	MISSING	GameInputManager.cs	
PLAN_v4.md	OK	GameManager.cs	Assets\Scripts\StarGame\Game\GameManager.cs
PLAN_v4.md	MISSING	HeroEntity.cs	
PLAN_v4.md	OK	InteractiveShowEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\Base\InteractiveShowEntity.cs
PLAN_v4.md	OK	LocalSimulateEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\Base\LocalSimulateEntity.cs
PLAN_v4.md	OK	LocalSummonEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\LocalSummonEntity.cs
PLAN_v4.md	OK	NPCEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\NPCEntityBase.cs
PLAN_v4.md	MISSING	Player/CollectCtrlGroup.cs	
PLAN_v4.md	OK	Player/Component/SkillComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillComponent.cs
PLAN_v4.md	OK	Player/EntityCtrlBase.cs	Assets\Scripts\StarGame\Game\Player\EntityCtrlBase.cs
PLAN_v4.md	MISSING	Player/HeroCtrlGroup.cs	
PLAN_v4.md	OK	Player/MonsterCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\MonsterCtrlGroup.cs
PLAN_v4.md	MISSING	Player/NPCCtrlGroup.cs	
PLAN_v4.md	OK	Player/PartnerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PartnerCtrlGroup.cs
PLAN_v4.md	OK	Player/PartnerManager.cs	Assets\Scripts\StarGame\Game\Partner\PartnerManager.cs
PLAN_v4.md	OK	Player/PlayerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PlayerCtrlGroup.cs
PLAN_v4.md	MISSING	Player/PlayerManager.cs	
PLAN_v4.md	OK	Player/SummonCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\SummonCtrlGroup.cs
PLAN_v4.md	OK	PlayerCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\PlayerCtrlGroup.cs
PLAN_v4.md	OK	RenderManager.cs	Assets\Scripts\StarGame\Game\RenderManager.cs
PLAN_v4.md	OK	Skill/SkillEngine/SkillContainer.cs	Assets\Scripts\StarGame\Game\Skill\SkillContainer.cs
PLAN_v4.md	OK	Skill/SkillEngine/SkillEntity.cs	Assets\Scripts\StarGame\Game\Skill\SkillEntity.cs
PLAN_v4.md	OK	Skill/SkillEngine/SkillStage.cs	Assets\Scripts\StarGame\Game\Skill\SkillStage.cs
PLAN_v4.md	OK	Skill/SkillStageFrame.cs	Assets\Scripts\StarGame\Game\Skill\SkillStageFrame.cs
PLAN_v4.md	OK	SkillComponent.cs	Assets\Scripts\StarGame\Game\Player\Component\SkillComponent.cs
PLAN_v4.md	OK	SkillContainer.cs	Assets\Scripts\StarGame\Game\Skill\SkillContainer.cs
PLAN_v4.md	OK	SkillEntity.cs	Assets\Scripts\StarGame\Game\Skill\SkillEntity.cs
PLAN_v4.md	OK	SkillStage.cs	Assets\Scripts\StarGame\Game\Skill\SkillStage.cs
PLAN_v4.md	OK	SkillStageFrame.cs	Assets\Scripts\StarGame\Game\Skill\SkillStageFrame.cs
PLAN_v4.md	OK	ViewAOI.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewAOI.cs
PLAN_v4.md	OK	ViewVitalNPCNormal.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ViewVitalNPCNormal.cs
PLAN_v5.md	OK	ActiveSceneCameraLogic.cs	Assets\Scripts\StarGame\Game\Map\ActiveSceneCameraLogic.cs
PLAN_v5.md	OK	AnimParam.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AnimParam.cs
PLAN_v5.md	OK	AOIEntityObject.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\Base\AOIEntityObject.cs
PLAN_v5.md	OK	AttackState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AttackState.cs
PLAN_v5.md	OK	AttacState.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\AttacState.cs
PLAN_v5.md	OK	AudioParam.cs	Assets\Scripts\StarGame\Game\Skill\Base\AudioParam.cs
PLAN_v5.md	OK	AutoBattleBtn.cs	Assets\Scripts\StarGame\Game\Skill\AutoBattle\AutoBattleBtn.cs
PLAN_v5.md	OK	AuxiliarySummoner.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\AuxiliarySummoner.cs
PLAN_v5.md	OK	AvatarChangeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\AvatarChangeEffect.cs
PLAN_v5.md	OK	BaseConfigInfo.cs	Assets\Scripts\StarGame\Game\Skill\Base\BaseConfigInfo.cs
PLAN_v5.md	OK	BaseTypeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\BaseTypeEffect.cs
PLAN_v5.md	OK	BattleManager.cs	Assets\Scripts\StarGame\Service\BattleManager\BattleManager.cs
PLAN_v5.md	MISSING	BlackBoard.cs	
PLAN_v5.md	OK	BuffInfo.cs	Assets\Scripts\StarGame\Game\Skill\Buff\BuffInfo.cs
PLAN_v5.md	OK	BuffPlayLineRenderEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\BuffPlayLineRenderEffect.cs
PLAN_v5.md	OK	BuffStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Buff\BuffStageHandle.cs
PLAN_v5.md	OK	BulletCtrl.cs	Assets\Scripts\StarGame\Game\Player\BulletCtrl.cs
PLAN_v5.md	OK	BulletEntity.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\BulletEntity.cs
PLAN_v5.md	OK	BulletInfo.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\BulletInfo.cs
PLAN_v5.md	OK	BulletStageHandle.cs	Assets\Scripts\StarGame\Game\Skill\Bullet\BulletStageHandle.cs
PLAN_v5.md	OK	CameraBaseTypeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\CameraBaseTypeEffect.cs
PLAN_v5.md	OK	CameraMoveTypeEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\CameraMoveTypeEffect.cs
PLAN_v5.md	OK	ChangeAnimsBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ChangeAnimsBuffEffect.cs
PLAN_v5.md	OK	ChangeAnimsData.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ChangeAnimsData.cs
PLAN_v5.md	OK	ChangSkillEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\ChangSkillEffect.cs
PLAN_v5.md	OK	CheckIndicator.cs	Assets\Scripts\StarGame\Game\Player\Component\CheckIndicator.cs
PLAN_v5.md	OK	ClientMoveFx.cs	Assets\Scripts\StarGame\Game\Skill\ClientEffect\ClientMoveFx.cs
PLAN_v5.md	OK	ClientSimulateMoveParam.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\Base\ClientSimulateMoveParam.cs
PLAN_v5.md	MISSING	CollectCtrlGroup.cs	
PLAN_v5.md	OK	CusListQueue.cs	Assets\Scripts\StarGame\Game\CustomDataStruct\CusListQueue.cs
PLAN_v5.md	OK	CusQueue.cs	Assets\Scripts\StarGame\Game\CustomDataStruct\CusQueue.cs
PLAN_v5.md	OK	CustomGradient.cs	Assets\Scripts\StarGame\Game\Skill\Power\CustomGradient.cs
PLAN_v5.md	OK	DamageEntity.cs	Assets\Scripts\StarGame\Game\Skill\DamageEntity.cs
PLAN_v5.md	OK	DynamicDataFactory.cs	Assets\Scripts\StarGame\Game\Entity\Factory\DynamicDataFactory.cs
PLAN_v5.md	OK	DynamicDataObject.cs	Assets\Scripts\StarGame\Game\Entity\Factory\DynamicDataObject.cs
PLAN_v5.md	OK	DynamicRenderQueueManager.cs	Assets\Scripts\StarGame\Game\DynamicRenderQueueManager.cs
PLAN_v5.md	OK	EffectExecuteResult.cs	Assets\Scripts\StarGame\Game\Skill\EffectExecuteResult.cs
PLAN_v5.md	OK	EffectResultUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectResultUtils.cs
PLAN_v5.md	OK	EffectUtils.cs	Assets\Scripts\StarGame\Game\Skill\EffectUtils.cs
PLAN_v5.md	OK	EntityBaseData.cs	Assets\Scripts\StarGame\Game\Data\EntityBaseData.cs
PLAN_v5.md	OK	EntityCtrlBase.cs	Assets\Scripts\StarGame\Game\Player\EntityCtrlBase.cs
PLAN_v5.md	OK	EntityCtrlMsgBase.cs	Assets\Scripts\StarGame\Game\Player\EntityCtrlMsgBase.cs
PLAN_v5.md	OK	EntityFactory.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityFactory.cs
PLAN_v5.md	OK	EntityLocalDynamic.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityLocalDynamic.cs
PLAN_v5.md	OK	EntityLocalStatic.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityLocalStatic.cs
PLAN_v5.md	OK	EntityObject.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityObject.cs
PLAN_v5.md	OK	EntityRemoteDynamic.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityRemoteDynamic.cs
PLAN_v5.md	OK	EntityRemoteStatic.cs	Assets\Scripts\StarGame\Game\Entity\Factory\EntityRemoteStatic.cs
PLAN_v5.md	OK	EntityTempVisibility.cs	Assets\Scripts\StarGame\Game\Player\Component\EntityTempVisibility.cs
PLAN_v5.md	OK	Footprints.cs	Assets\Scripts\StarGame\Game\ViewEffect\Footprints.cs
PLAN_v5.md	OK	FreezeBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\FreezeBuffEffect.cs
PLAN_v5.md	OK	FxParam.cs	Assets\Scripts\StarGame\Game\Skill\Base\FxParam.cs
PLAN_v5.md	OK	FxUtils.cs	Assets\Scripts\StarGame\Game\Skill\Utils\FxUtils.cs
PLAN_v5.md	OK	FxView.cs	Assets\Scripts\StarGame\Game\Entity\View\OutLifeEntity\FxView.cs
PLAN_v5.md	OK	Game/DynamicRenderQueueManager.cs	Assets\Scripts\StarGame\Game\DynamicRenderQueueManager.cs
PLAN_v5.md	OK	Game/GameCommand.cs	Assets\Scripts\StarGame\Game\GameCommand.cs
PLAN_v5.md	OK	Game/GameContext.cs	Assets\Scripts\StarGame\Game\GameContext.cs
PLAN_v5.md	OK	Game/GameEvent.cs	Assets\Scripts\StarGame\Game\GameEvent.cs
PLAN_v5.md	OK	Game/GameInput.cs	Assets\Scripts\StarGame\Game\GameInput.cs
PLAN_v5.md	OK	Game/GameManager.cs	Assets\Scripts\StarGame\Game\GameManager.cs
PLAN_v5.md	OK	Game/RenderManager.cs	Assets\Scripts\StarGame\Game\RenderManager.cs
PLAN_v5.md	OK	GameCamera.cs	Assets\Scripts\StarGame\Game\StarsCamera\GameCamera.cs
PLAN_v5.md	OK	GameCameraFeel.cs	Assets\Scripts\StarGame\Game\StarsCamera\GameCameraFeel.cs
PLAN_v5.md	OK	GameCameraRotate.cs	Assets\Scripts\StarGame\Game\StarsCamera\GameCameraRotate.cs
PLAN_v5.md	OK	GameCameraScale.cs	Assets\Scripts\StarGame\Game\StarsCamera\GameCameraScale.cs
PLAN_v5.md	OK	GameCommand.cs	Assets\Scripts\StarGame\Game\GameCommand.cs
PLAN_v5.md	OK	GameContext.cs	Assets\Scripts\StarGame\Game\GameContext.cs
PLAN_v5.md	MISSING	GameDebug.cs	
PLAN_v5.md	MISSING	GameDefine.cs	
PLAN_v5.md	OK	GameEvent.cs	Assets\Scripts\StarGame\Game\GameEvent.cs
PLAN_v5.md	MISSING	GameHelper.cs	
PLAN_v5.md	OK	GameInput.cs	Assets\Scripts\StarGame\Game\GameInput.cs
PLAN_v5.md	MISSING	GameInputManager.cs	
PLAN_v5.md	OK	GameManager.cs	Assets\Scripts\StarGame\Game\GameManager.cs
PLAN_v5.md	OK	GameMap.cs	Assets\Scripts\StarGame\Game\Map\GameMap.cs
PLAN_v5.md	OK	GameNPCCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\GameNPCCtrlGroup.cs
PLAN_v5.md	OK	GameNPCEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\GameNPCEntityBase.cs
PLAN_v5.md	OK	GatewayEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\GatewayEntity.cs
PLAN_v5.md	OK	GatewayView.cs	Assets\Scripts\StarGame\Game\Entity\View\LocalDynamicEntity\GatewayView.cs
PLAN_v5.md	MISSING	HeroCtrlGroup.cs	
PLAN_v5.md	MISSING	HeroEntity.cs	
PLAN_v5.md	OK	HeroEntityBase.cs	Assets\Scripts\StarGame\Game\Entity\RemoteDynamic\HeroEntityBase.cs
PLAN_v5.md	OK	HiddenSkillSlotEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\HiddenSkillSlotEffect.cs
PLAN_v5.md	OK	HiddenUIEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\HiddenUIEffect.cs
PLAN_v5.md	OK	I_VVitalAnim.cs	Assets\Scripts\StarGame\Game\Entity\View\VitalEnity\ViewState\I_VVitalAnim.cs
PLAN_v5.md	MISSING	IEntityFactory.cs	
PLAN_v5.md	MISSING	IEntityManager.cs	
PLAN_v5.md	OK	IMapLogic.cs	Assets\Scripts\StarGame\Game\Map\IMapLogic.cs
PLAN_v5.md	OK	InteractiveShowEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\Base\InteractiveShowEntity.cs
PLAN_v5.md	OK	InvisibleBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\InvisibleBuffEffect.cs
PLAN_v5.md	OK	KnockDownBuffEffect.cs	Assets\Scripts\StarGame\Game\TypeEffect\TypeEffect\KnockDownBuffEffect.cs
PLAN_v5.md	MISSING	LocalCollectEntity.cs	
PLAN_v5.md	OK	LocalSimulateEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\Base\LocalSimulateEntity.cs
PLAN_v5.md	OK	LocalSummonEntity.cs	Assets\Scripts\StarGame\Game\Entity\LocalDynamic\LocalSummonEntity.cs
PLAN_v5.md	MISSING	MainHeroEntity.cs	
PLAN_v5.md	OK	MapScript.cs	Assets\Scripts\StarGame\Game\Map\MapScript.cs
PLAN_v5.md	OK	MonsterCtrlGroup.cs	Assets\Scripts\StarGame\Game\Player\MonsterCtrlGroup.cs
